ct,last_kanji,first_kanji,full_kanji,last_kana,first_kana,full_kana,last_eng,first_eng,group_id,graduate,independence,temporary,generation,is_other
12,金村,美玖,金村美玖,かねむら,みく,かねむらみく,kanemura,miku,2,false,true,false,2,false
13,河田,陽菜,河田陽菜,かわた,ひな,かわたひな,kawata,hina,2,false,true,false,2,false
14,小坂,菜緒,小坂菜緒,こさか,なお,こさかなお,kosaka,nao,2,false,true,false,2,false
15,富田,鈴花,富田鈴花,とみた,すずか,とみたすずか,tomita,suzuka,2,false,true,false,2,false
16,丹生,明里,丹生明里,にぶ,あかり,にぶあかり,nibu,akari,2,false,true,false,2,false
17,濱岸,ひより,濱岸ひより,はまぎし,ひより,はまぎしひより,hamagisi,hiyori,2,false,true,false,2,false
18,松田,好花,松田好花,まつだ,このか,まつだこのか,matuda,konoka,2,false,true,false,2,false
19,宮田,愛萌,宮田愛萌,みやた,まなも,みやたまなも,miyata,manamo,2,true,true,false,2,false
20,渡邉,美穂,渡邉美穂,わたなべ,みほ,わたなべみほ,watanabe,miho,2,true,true,false,2,false
21,上村,ひなの,上村ひなの,かみむら,ひなの,かみむらひなの,kamimura,hinano,2,false,true,false,3,false
22,髙橋,未来虹,髙橋未来虹,たかはし,みくに,たかはしみくに,takahasi,mikumi,2,false,true,false,3,false
23,森本,茉莉,森本茉莉,もりもと,まりぃ,もりもとまりぃ,morimoto,marii,2,false,true,false,3,false
24,山口,陽世,山口陽世,やまぐち,はるよ,やまぐちはるよ,yamaguti,haruyo,2,false,true,false,3,false
25,石塚,瑶季,石塚瑶季,いしづか,たまき,いしづかたまき,ishizuka,tamaki,2,false,true,false,4,false
26,岸,帆夏,岸帆夏,きし,ほのか,きしほのか,kishi,honoka,2,false,true,false,4,false
27,小西,夏菜実,小西夏菜実,こにし,ななみ,こにしななみ,konishi,nanami,2,false,true,false,4,false
28,清水,理央,清水理央,しみず,りお,しみずりお,shimizu,rio,2,false,true,false,4,false
29,正源司,陽子,正源司陽子,しょうげんじ,ようこ,しょうげんじようこ,shogenji,yoko,2,false,true,false,4,false
30,竹内,希来里,竹内希来里,たけうち,きらり,たけうちきらり,takeuchi,kirari,2,false,true,false,4,false
31,平尾,帆夏,平尾帆夏,ひらお,ほのか,ひらおほのか,hirao,honoka,2,false,true,false,4,false
32,平岡,海月,平岡海月,ひらおか,みつき,ひらおかみつき,hiraoka,mitsuki,2,false,true,false,4,false
33,藤嶌,果歩,藤嶌果歩,ふじしま,かほ,ふじしまかほ,fujishima,kaho,2,false,true,false,4,false
34,宮地,すみれ,宮地すみれ,みやち,すみれ,みやちすみれ,miyachi,sumire,2,false,true,false,4,false
35,山下,葉留花,山下葉留花,やました,はるか,やましたはるか,yamashita,haruka,2,false,true,false,4,false
36,渡辺,莉奈,渡辺莉奈,わたなべ,りな,わたなべりな,watanabe,rina,2,false,true,false,4,false
000,ポカ,,ポカ,ぽか,,ぽか,poka,,2,false,true,false,0,true
